org.wso2.carbon.axis2.jaxbri_1.4.1-wso2.jar,bundle,apache2
org.wso2.carbon.axis2.jibx_1.4.1-wso2.jar,bundle,apache2
org.wso2.carbon.axis2_1.4.1-wso2.jar,bundle,apache2
org.wso2.carbon.axis_1.4.jar,bundle,apache2
org.wso2.carbon.backport.util.concurrent_3.1.jar,bundle,ccpd
org.wso2.carbon.bcel_5.2.jar,bundle,apache2
org.wso2.carbon.bndmgt-2.0.3.jar,bundle,apache2
org.wso2.carbon.bpel.ui-2.0.3.jar,bundle,apache2
org.wso2.carbon.bpel-2.0.3.jar,bundle,apache2
org.wso2.carbon.bridge-2.0.3.jar,jar,apache2
org.wso2.carbon.bsf_3.0-beta2.jar,bundle,apache2
org.wso2.carbon.caching.ui_SNAPSHOT.jar,bundle,apache2
org.wso2.carbon.caching_SNAPSHOT.jar,bundle,apache2
org.wso2.carbon.cglib_2.1_3.jar,bundle,apache1
org.wso2.carbon.commons.codec_1.3.jar,bundle,apache2
org.wso2.carbon.commons.collections_3.1.jar,bundle,apache2
org.wso2.carbon.commons.dbcp_1.2.2.jar,bundle,apache2
org.wso2.carbon.commons.fileupload_1.2.jar,bundle,apache2
org.wso2.carbon.commons.httpclient_3.1.jar,bundle,apache2
org.wso2.carbon.commons.io_1.4.jar,bundle,apache2
org.wso2.carbon.commons.lang_2.3.jar,bundle,apache2
org.wso2.carbon.commons.pool_1.3.jar,bundle,apache2
org.wso2.carbon.commons.primitives_1.0.jar,bundle,apache2
org.wso2.carbon.commons.vfs_1.0.jar,bundle,apache2
org.wso2.carbon.compass.project_2.0.1.jar,bundle,apache2
org.wso2.carbon.core.installer-SNAPSHOT.jar,jar,apache2
org.wso2.carbon.core.services_SNAPSHOT.jar,bundle,apache2
org.wso2.carbon.core_SNAPSHOT.jar,bundle,apache2
org.wso2.carbon.datasource.ui_SNAPSHOT.jar,bundle,apache2
org.wso2.carbon.datasource_SNAPSHOT.jar,bundle,apache2
org.wso2.carbon.derby_10.3.2.1.jar,bundle,apache2
org.wso2.carbon.ehcache_1.5.0.jar,bundle,apache2
org.wso2.carbon.ejbservices.ui_SNAPSHOT.jar,bundle,apache2
org.wso2.carbon.ejbservices_SNAPSHOT.jar,bundle,apache2
org.wso2.carbon.endpoint.ui_SNAPSHOT.jar,bundle,apache2
org.wso2.carbon.endpoint_SNAPSHOT.jar,bundle,apache2
org.wso2.carbon.eventing.core_SNAPSHOT.jar,bundle,apache2
org.wso2.carbon.eventing.eventsource.ui_SNAPSHOT.jar,bundle,apache2
org.wso2.carbon.eventing.eventsource_SNAPSHOT.jar,bundle,apache2
org.wso2.carbon.eventing.impl_SNAPSHOT.jar,bundle,apache2
org.wso2.carbon.eventing.savan_SNAPSHOT.jar,bundle,apache2
org.wso2.carbon.eventing.ui_SNAPSHOT.jar,bundle,apache2
org.wso2.carbon.eventing_SNAPSHOT.jar,bundle,apache2
org.wso2.carbon.geronimo.connector_2.0.1.jar,bundle,apache2
org.wso2.carbon.geronimo.ejb.2.1.spec_1.1.jar,bundle,apache2
org.wso2.carbon.geronimo.j2ee.connector.1.5.spec_1.0.jar,bundle,apache2
org.wso2.carbon.geronimo.jms.1.1.spec_1.1.jar,bundle,apache2
org.wso2.carbon.geronimo.jta.1.1.spec-1.1.jar,jar,apache2
org.wso2.carbon.geronimo.jta.1.1.spec_1.1.jar,bundle,apache2
org.wso2.carbon.geronimo.kernel_2.0.1.jar,bundle,apache2
org.wso2.carbon.geronimo.spec.javamail_1.3rc5.1.jar,bundle,apache2
org.wso2.carbon.geronimo.spec.jms_1.1-rc4.jar,bundle,apache2
org.wso2.carbon.geronimo.transaction_2.0.1.jar,bundle,apache2
org.wso2.carbon.hibernate_3.2.5.ga.jar,bundle,lgpl2
